id,target
230582,0
230583,0
230584,0
230585,0
230586,0
230587,1
230588,1
230589,0
230590,0
230591,0
230592,0
230593,0
230594,0
230595,0
230596,0
230597,0
230598,0
230599,0
230600,0
230601,0
230602,0
230603,0
230604,1
230605,0
230606,0
230607,0
230608,0
230609,1
230610,0
230611,0
230612,0
230613,0
230614,0
230615,1
230616,0
230617,0
230618,0
230619,0
230620,0
230621,0
230622,0
230623,0
230624,0
230625,1
230626,1
230627,0
230628,0
230629,0
230630,0
230631,0
230632,0
230633,0
230634,1
230635,0
230636,1
230637,0
230638,0
230639,0
230640,0
230641,0
230642,0
230643,0
230644,0
230645,0
230646,0
230647,0
230648,1
230649,0
230650,0
230651,0
230652,0
230653,0
230654,0
230655,0
230656,0
230657,0
230658,0
230659,0
230660,0
230661,0
230662,0
230663,0
230664,0
230665,0
230666,0
230667,1
230668,0
230669,0
230670,0
230671,0
230672,0
230673,0
230674,0
230675,0
230676,0
230677,0
230678,0
230679,0
230680,1
230681,0
230682,0
230683,0
230684,0
230685,0
230686,0
230687,0
230688,1
230689,0
230690,0
230691,1
230692,0
230693,1
230694,0
230695,0
230696,0
230697,0
230698,0
230699,0
230700,0
230701,0
230702,1
230703,1
230704,1
230705,0
230706,0
230707,0
230708,0
230709,0
230710,0
230711,0
230712,0
230713,0
230714,0
230715,1
230716,0
230717,1
230718,0
230719,0
230720,0
230721,1
230722,1
230723,0
230724,0
230725,0
230726,0
230727,0
230728,0
230729,0
230730,0
230731,0
230732,0
230733,0
230734,0
230735,0
230736,0
230737,0
230738,0
230739,0
230740,0
230741,0
230742,0
230743,0
230744,0
230745,0
230746,0
230747,0
230748,0
230749,0
230750,0
230751,0
230752,1
230753,0
230754,0
230755,0
230756,1
230757,0
230758,0
230759,0
230760,0
230761,1
230762,0
230763,0
230764,0
230765,0
230766,0
230767,0
230768,0
230769,0
230770,0
230771,0
230772,0
230773,0
230774,0
230775,1
230776,0
230777,0
230778,0
230779,0
230780,1
230781,0
230782,0
230783,1
230784,1
230785,0
230786,0
230787,0
230788,0
230789,1
230790,0
230791,0
230792,0
230793,0
230794,1
230795,0
230796,0
230797,1
230798,0
230799,1
230800,0
230801,1
230802,1
230803,0
230804,0
230805,0
230806,1
230807,1
230808,0
230809,0
230810,0
230811,0
230812,0
230813,0
230814,0
230815,0
230816,0
230817,1
230818,1
230819,0
230820,0
230821,1
230822,1
230823,0
230824,0
230825,0
230826,0
230827,0
230828,1
230829,0
230830,0
230831,0
230832,0
230833,0
230834,0
230835,0
230836,0
230837,0
230838,0
230839,0
230840,0
230841,0
230842,1
230843,1
230844,0
230845,1
230846,0
230847,0
230848,0
230849,0
230850,0
230851,0
230852,0
230853,1
230854,0
230855,0
230856,0
230857,0
230858,0
230859,0
230860,0
230861,0
230862,0
230863,0
230864,0
230865,0
230866,0
230867,0
230868,0
230869,0
230870,1
230871,0
230872,0
230873,0
230874,0
230875,1
230876,0
230877,0
230878,0
230879,0
230880,0
230881,0
230882,0
230883,0
230884,0
230885,0
230886,0
230887,0
230888,0
230889,0
230890,0
230891,1
230892,0
230893,0
230894,0
230895,0
230896,0
230897,0
230898,0
230899,0
230900,1
230901,1
230902,1
230903,0
230904,1
230905,0
230906,0
230907,0
230908,0
230909,0
230910,0
230911,0
230912,0
230913,0
230914,1
230915,0
230916,0
230917,1
230918,0
230919,0
230920,0
230921,0
230922,0
230923,0
230924,0
230925,0
230926,0
230927,0
230928,0
230929,0
230930,0
230931,0
230932,0
230933,0
230934,0
230935,0
230936,0
230937,0
230938,1
230939,0
230940,0
230941,0
230942,0
230943,1
230944,1
230945,0
230946,0
230947,0
230948,1
230949,1
230950,1
230951,0
230952,0
230953,0
230954,0
230955,1
230956,1
230957,0
230958,0
