id,target
865496,0
865497,0
865498,0
865499,0
865500,0
865501,0
865502,1
865503,0
865504,0
865505,0
865506,0
865507,0
865508,0
865509,1
865510,0
865511,0
865512,0
865513,0
865514,0
865515,0
865516,0
865517,0
865518,0
865519,0
865520,0
865521,1
865522,1
865523,0
865524,1
865525,0
865526,0
865527,0
865528,0
865529,0
865530,0
865531,0
865532,1
865533,0
865534,0
865535,0
865536,0
865537,1
865538,0
865539,1
865540,0
865541,1
865542,0
865543,0
865544,0
865545,0
865546,0
865547,0
865548,0
865549,0
865550,0
865551,0
865552,0
865553,0
865554,0
865555,0
865556,0
865557,0
865558,0
865559,0
865560,0
865561,1
865562,0
865563,0
865564,0
865565,0
865566,0
865567,0
865568,0
865569,0
865570,0
865571,1
865572,0
865573,1
865574,0
865575,0
865576,1
865577,1
865578,0
865579,0
865580,0
865581,0
865582,0
865583,0
865584,0
865585,0
865586,0
865587,0
865588,0
865589,0
865590,0
865591,1
865592,1
865593,0
865594,0
865595,0
865596,0
865597,0
865598,0
865599,0
865600,0
865601,0
865602,0
865603,0
865604,0
865605,0
865606,0
865607,0
865608,0
865609,0
865610,0
865611,0
865612,0
865613,0
865614,0
865615,0
865616,0
865617,1
865618,1
865619,0
865620,0
865621,0
865622,0
865623,0
865624,0
865625,0
865626,0
865627,0
865628,0
865629,0
865630,0
865631,0
865632,0
865633,0
865634,1
865635,0
865636,0
865637,0
865638,0
865639,1
865640,0
865641,0
865642,1
865643,0
865644,0
865645,0
865646,0
865647,0
865648,0
865649,0
865650,0
865651,1
865652,0
865653,0
865654,1
865655,1
865656,0
865657,0
865658,0
865659,0
865660,0
865661,0
865662,0
865663,0
865664,0
865665,0
865666,0
865667,0
865668,0
865669,0
865670,0
865671,0
865672,0
865673,0
865674,0
865675,0
865676,0
865677,0
865678,0
865679,0
865680,0
865681,0
865682,0
865683,0
865684,0
865685,0
865686,0
865687,0
865688,0
865689,0
865690,0
865691,0
865692,0
865693,1
865694,0
865695,0
865696,0
865697,0
865698,0
865699,0
865700,0
865701,0
865702,0
865703,0
865704,0
865705,0
865706,0
865707,1
865708,0
865709,0
865710,0
865711,1
865712,1
865713,0
865714,0
865715,0
865716,0
865717,0
865718,0
865719,0
865720,0
865721,0
865722,0
865723,0
865724,0
865725,0
865726,0
865727,0
865728,1
865729,0
865730,0
865731,0
865732,0
865733,0
865734,0
865735,0
865736,0
865737,0
865738,0
865739,0
865740,0
865741,0
865742,0
865743,0
865744,0
865745,0
865746,0
865747,0
865748,0
865749,0
865750,0
865751,0
865752,0
865753,0
865754,0
865755,0
865756,0
865757,0
865758,0
865759,0
865760,0
865761,0
865762,0
865763,0
865764,0
865765,0
865766,0
865767,0
865768,1
865769,0
865770,0
865771,0
865772,0
865773,1
865774,0
865775,0
865776,0
865777,0
865778,0
865779,0
865780,0
865781,0
865782,0
865783,0
865784,0
865785,0
865786,0
865787,0
865788,1
865789,0
865790,0
865791,0
865792,0
865793,0
865794,0
865795,1
865796,0
865797,0
865798,0
865799,0
865800,0
865801,0
865802,0
865803,0
865804,1
865805,0
865806,0
865807,1
865808,0
865809,0
865810,1
865811,0
865812,0
865813,0
865814,0
865815,0
865816,0
